Отметка времени,Баллы,"1. What is your age?
",2. What is your gender? ,3. What is your marital status?,4. What is your highest level of education?,5. Is your current occupation related to STEM fields?,6. Is your current occupation related to economics and/or finance?,7. How many years of professional experience do you have?,8. What is your annual income in EUR after taxes? ,"9. If you stopped working today and liquidated all your assets (both financial and real estate), for how many months could you maintain your current lifestyle and spending habits? ",10. How would you rate your financial literacy?,11. How confident are you in your investment decisions?,12. How would you rate your risk tolerance?,13. What is your typical investment horizon?,14. How do you view the short-term (next 1–2 years) economic outlook for your home country (where you reside and work)?,15. How do you view the long-term (next 5–10 years) economic outlook for your home country (where you reside and work)?,16. How do you view the short-term (next 1–2 years) economic outlook for the global economy?,17. How do you view the long-term (next 5–10 years) economic outlook for the global economy?,"18. What percentage of your financial portfolio (stocks, bonds, ETFs, investment funds) is invested in assets outside your home country?","19. What percentage of your entire assets (real estate, financial assets including cryptocurrency and other instruments, and other assets) is invested in assets outside your home country? ",20. How important are investment fees when choosing investments?,21. What is your annual expected rate of return on your investments?,Адрес электронной почты
11/23/2024 0:35:08,0,34,Male,Single,Master’s degree and higher,Yes,No,4,Between 25 000 and 40 000,12,7,6,9,1–5 years,4,6,4,8,0,100,8,30,
11/23/2024 7:13:25,0,51,Female,Single,Master’s degree and higher,Yes,No,25,More than 60 000,60,10,10,7,5–10 years,10,10,7,7,50,50,7,10,
11/23/2024 14:42:58,0,22,Male,Single,Bachelor’s degree,No,Yes,2,Below 15 000,12,7,8,8,1–5 years,4,5,6,7,40,30,7,15,
11/25/2024 13:17:42,0,22,Female,Have a patner,Bachelor’s degree,No,Yes,2,Below 15 000,14,9,8,6,1–5 years,6,4,8,6,30,15,9,15,
11/25/2024 13:31:28,0,35,Male,Single,Bachelor’s degree,Yes,No,1,Below 15 000,2,2,1,2,Less than 1 year,2,2,2,2,0,0,8,5,
11/25/2024 13:41:31,0,28,Male,Single,Master’s degree and higher,Yes,Yes,10,More than 60 000,6,5,6,8,1–5 years,8,10,6,7,70,100,4,50,
11/25/2024 14:15:26,0,21,Female,Have a patner,Bachelor’s degree,No,Yes,3,Between 25 000 and 40 000,8,9,10,7,1–5 years,9,8,8,8,30,30,7,18,
11/25/2024 14:26:01,0,22,Male,Single,Bachelor’s degree,No,Yes,3,Between 15 000 and 40 000,4,8,7,5,1–5 years,6,7,6,4,100,100,4,25,
11/25/2024 14:38:11,0,20,Male,Have a patner,Bachelor’s degree,No,Yes,1,Below 15 000,6,9,7,8,5–10 years,6,8,6,8,100,100,8,10,
11/25/2024 14:41:01,0,22,Female,Have a patner,High school diploma,Yes,Yes,3,Between 15 000 and 40 000,6,9,9,8,1–5 years,3,4,7,8,100,0,9,25,
11/25/2024 15:07:16,0,21,Male,Single,High school diploma,Yes,No,1,Below 15 000,3,6,5,4,Less than 1 year,4,4,5,4,0,0,7,17,
11/25/2024 15:08:08,0,21,Male,Single,Master’s degree and higher,No,Yes,0,Between 15 000 and 40 000,1,8,3,1,Less than 1 year,4,7,2,5,100,100,10,7,
11/25/2024 16:04:33,0,33,Male,Single,Bachelor’s degree,Yes,Yes,2,Below 15 000,3,8,8,6,1–5 years,7,8,6,6,10,100,9,5,
11/25/2024 16:08:04,0,25,Male,Single,Bachelor’s degree,Yes,No,5,Between 15 000 and 40 000,6,7,6,7,1–5 years,5,7,5,8,30,80,9,10,
11/25/2024 16:29:02,0,20,Female,Single,Bachelor’s degree,Yes,No,0,Below 15 000,5,5,4,6,1–5 years,6,7,6,7,10,5,8,5,
11/25/2024 16:53:39,0,21,Female,Single,High school diploma,No,Yes,2,Below 15 000,15,7,4,4,1–5 years,3,5,5,4,5,5,7,8,
11/25/2024 17:04:54,0,23,Female,Single,Bachelor’s degree,Yes,No,0,Below 15 000,400,5,6,2,1–5 years,7,7,8,5,0,0,7,50,
11/25/2024 18:41:31,0,33,Male,Single,Master’s degree and higher,Yes,Yes,10,More than 60 000,144,7,7,7,5–10 years,2,3,6,7,30,30,3,5,
11/25/2024 18:49:22,0,31,Male,Single,Bachelor’s degree,Yes,Yes,2,Below 15 000,3,5,5,5,Less than 1 year,6,5,5,5,100,100,5,10,
11/25/2024 21:30:06,0,23,Female,Single,Bachelor’s degree,No,No,1,Between 25 000 and 40 000,1,4,5,2,5–10 years,8,8,7,7,50,50,8,50,
11/25/2024 21:58:39,0,23,Female,Single,Bachelor’s degree,Yes,Yes,2,Between 15 000 and 40 000,3,9,8,6,1–5 years,8,9,7,8,5,3,10,5,
11/25/2024 22:27:30,0,34,Male,Single,Master’s degree and higher,Yes,No,7,Between 25 000 and 40 000,12,8,6,7,1–5 years,7,5,6,5,70,70,10,10,
11/25/2024 23:01:31,0,61,Male,Have a patner,Master’s degree and higher,No,Yes,40,Between 15 000 and 40 000,140,8,8,4,1–5 years,8,8,6,6,0,0,6,7,
11/25/2024 23:16:03,0,23,Male,Single,Bachelor’s degree,Yes,No,2,Between 15 000 and 40 000,6,6,6,6,5–10 years,6,6,6,6,50,20,6,60,
11/25/2024 23:34:54,0,21,Female,Single,Bachelor’s degree,No,No,3,Between 15 000 and 40 000,12,5,1,5,Less than 1 year,1,5,1,1,0,0,10,2,
11/26/2024 1:44:38,0,39,Male,Single,Master’s degree and higher,Yes,Yes,9,More than 60 000,166,8,7,8,1–5 years,5,7,4,5,100,100,7,12,
11/26/2024 3:03:59,0,23,Female,Single,Bachelor’s degree,No,Yes,0,Below 15 000,5,6,2,5,Less than 1 year,3,6,7,8,0,0,8,3,
11/26/2024 12:33:50,0,24,Male,Have a patner,Bachelor’s degree,No,Yes,2,Between 25 000 and 40 000,12,8,8,7,5–10 years,8,8,5,8,70,0,1,10,
11/26/2024 12:46:56,0,30,Female,Have a patner,Bachelor’s degree,No,Yes,8,Below 15 000,3,9,8,6,Less than 1 year,8,8,8,8,0,0,10,20,
11/26/2024 12:55:53,0,22,Female,Single,Bachelor’s degree,No,Yes,2,Between 15 000 and 40 000,2,7,6,3,1–5 years,5,4,6,6,0,0,7,0,
11/26/2024 13:06:28,0,24,Male,Single,Bachelor’s degree,No,Yes,2,Between 25 000 and 40 000,4,7,6,3,5–10 years,4,3,4,6,50,15,6,7,
11/26/2024 13:20:28,0,35,Galactic amoeba,Single,Bachelor’s degree,No,Yes,13,Below 15 000,12,7,5,4,Less than 1 year,4,6,5,6,0,0,2,11,
11/26/2024 13:38:32,0,22,Female,Single,Bachelor’s degree,No,No,2,Below 15 000,18,5,4,3,Less than 1 year,5,7,5,7,0,0,5,0,
11/26/2024 13:42:55,0,32,Male,Single,Master’s degree and higher,Yes,Yes,7,Between 25 000 and 40 000,2,8,8,9,Less than 1 year,4,4,7,6,20,15,6,30,
11/26/2024 14:43:07,0,25,Male,Have a patner,High school diploma,Yes,No,5,Between 15 000 and 40 000,3,6,5,7,1–5 years,6,7,6,6,100,100,9,6,
11/26/2024 17:30:09,0,24,Male,Single,Master’s degree and higher,No,No,1,Below 15 000,4,4,1,7,1–5 years,2,2,2,2,0,0,7,4,
11/26/2024 18:02:34,0,20,Female,Single,Bachelor’s degree,No,Yes,2,Below 15 000,2,7,5,4,1–5 years,6,6,7,8,0,0,7,75,
11/26/2024 18:13:20,0,27,Male,Single,Bachelor’s degree,Yes,Yes,4,Between 15 000 and 40 000,6,8,7,9,1–5 years,8,6,6,5,20,30,8,60,
11/26/2024 18:32:26,0,30,Male,Have a patner,Master’s degree and higher,Yes,Yes,4,Below 15 000,3,9,7,9,1–5 years,8,7,9,8,0,0,7,0,
11/26/2024 20:02:36,0,48,Female,Have a patner,Bachelor’s degree,No,No,27,Below 15 000,1,1,1,1,Less than 1 year,4,4,2,5,0,0,4,15,
11/26/2024 20:49:58,0,21,Male,Have a patner,Bachelor’s degree,No,Yes,2,Below 15 000,6,8,6,4,1–5 years,3,5,4,6,30,70,7,16,
11/26/2024 21:58:58,0,22,Female,Single,Bachelor’s degree,No,Yes,2,Below 15 000,6,6,6,4,Less than 1 year,2,2,6,6,0,0,8,20,
11/26/2024 23:31:39,0,24,Female,Have a patner,Bachelor’s degree,Yes,Yes,2,Below 15 000,2,8,9,8,1–5 years,8,9,7,8,0,0,9,3,
11/26/2024 23:33:32,0,23,Female,Have a patner,Bachelor’s degree,Yes,Yes,3,Below 15 000,3,8,9,8,1–5 years,9,7,8,9,5,10,8,12,
11/26/2024 23:35:00,0,20,Male,Single,Bachelor’s degree,Yes,Yes,1,Below 15 000,1,8,9,7,1–5 years,8,9,7,8,10,10,8,12,
11/26/2024 23:37:03,0,30,Female,Have a patner,Master’s degree and higher,Yes,Yes,8,Between 25 000 and 40 000,6,8,9,8,1–5 years,8,9,8,7,20,10,9,30,
11/26/2024 23:38:32,0,28,Female,Have a patner,Bachelor’s degree,Yes,Yes,8,Between 25 000 and 40 000,5,9,8,10,1–5 years,8,9,7,8,15,10,9,20,
11/26/2024 23:40:38,0,40,Male,Have a patner,Master’s degree and higher,Yes,Yes,16,Between 25 000 and 40 000,8,9,8,7,5–10 years,8,7,9,8,30,20,9,20,
11/26/2024 23:42:15,0,30,Male,Have a patner,Master’s degree and higher,Yes,Yes,10,Between 25 000 and 40 000,6,8,7,9,5–10 years,8,9,7,8,20,15,8,15,
11/26/2024 23:53:00,0,40,Male,Have a patner,Master’s degree and higher,Yes,No,20,More than 60 000,42,8,8,7,5–10 years,8,7,8,9,60,40,9,20,
11/26/2024 23:55:12,0,23,Male,Single,Bachelor’s degree,Yes,No,3,Below 15 000,5,7,8,6,1–5 years,8,7,8,7,20,20,7,7,
11/26/2024 23:58:30,0,30,Male,Single,Bachelor’s degree,No,Yes,8,Between 15 000 and 40 000,12,7,10,9,1–5 years,8,6,10,8,50,30,9,20,
11/27/2024 0:01:01,0,34,Male,Single,Master’s degree and higher,Yes,No,12,Between 25 000 and 40 000,18,8,9,8,5–10 years,8,7,9,8,70,90,9,25,
11/27/2024 0:03:53,0,31,Female,Have a patner,Bachelor’s degree,No,Yes,9,Between 25 000 and 40 000,12,9,8,7,5–10 years,8,7,9,7,60,40,8,20,
11/27/2024 0:06:22,0,23,Female,Have a patner,Bachelor’s degree,No,Yes,3,Below 15 000,2,8,9,7,1–5 years,8,7,9,6,30,40,8,12,
11/27/2024 0:08:48,0,35,Female,Have a patner,Master’s degree and higher,No,Yes,15,More than 60 000,18,8,9,7,1–5 years,8,7,9,7,70,80,7,20,
11/27/2024 0:11:11,0,41,Male,Have a patner,Master’s degree and higher,No,Yes,22,More than 60 000,24,8,7,8,5–10 years,8,7,9,7,40,30,7,13,
11/27/2024 0:13:06,0,40,Female,Have a patner,Master’s degree and higher,Yes,No,21,More than 60 000,36,8,7,10,5–10 years,8,6,9,8,60,90,8,30,
11/27/2024 0:14:45,0,32,Male,Have a patner,Bachelor’s degree,No,Yes,8,Between 25 000 and 40 000,12,9,7,6,1–5 years,8,6,8,5,30,20,7,7,
11/27/2024 0:16:52,0,21,Female,Single,Bachelor’s degree,Yes,No,2,Below 15 000,1,5,6,3,1–5 years,7,5,7,6,20,10,8,5,
11/27/2024 0:20:35,0,32,Male,Single,Bachelor’s degree,No,Yes,8,Between 15 000 and 40 000,5,8,6,8,1–5 years,6,3,8,7,30,25,7,17,
11/27/2024 0:22:10,0,42,Male,Have a patner,Master’s degree and higher,Yes,No,20,More than 60 000,24,8,6,8,5–10 years,8,6,8,7,40,20,9,15,
11/27/2024 0:24:53,0,23,Male,Have a patner,High school diploma,Yes,No,0,Below 15 000,0,8,5,7,Less than 1 year,3,5,4,7,0,0,5,0,
11/27/2024 1:03:35,0,30,Male,Single,Bachelor’s degree,No,Yes,8,Between 25 000 and 40 000,7,8,6,8,1–5 years,7,6,8,5,20,10,6,13,
11/27/2024 1:05:17,0,23,Female,Single,Bachelor’s degree,Yes,No,4,Below 15 000,3,9,6,7,1–5 years,7,6,9,7,25,30,7,12,
11/27/2024 1:07:20,0,32,Male,Have a patner,Bachelor’s degree,Yes,No,12,Between 25 000 and 40 000,5,8,6,7,5–10 years,8,6,8,7,30,25,8,15,
11/27/2024 1:10:20,0,28,Female,Have a patner,Bachelor’s degree,No,Yes,9,Between 15 000 and 40 000,4,6,7,6,5–10 years,7,8,7,6,40,30,7,15,
11/27/2024 1:12:30,0,43,Female,Have a patner,Master’s degree and higher,No,Yes,17,More than 60 000,24,7,9,7,More than 10 years,7,9,6,8,60,80,8,20,
11/27/2024 1:15:06,0,32,Male,Have a patner,Bachelor’s degree,No,Yes,11,Between 40 000 and 60 000,12,7,6,9,5–10 years,7,4,6,9,30,20,5,10,
11/27/2024 1:16:35,0,34,Female,Have a patner,Master’s degree and higher,Yes,No,13,More than 60 000,18,8,5,8,5–10 years,6,8,4,8,50,70,7,20,
11/27/2024 1:19:46,0,20,Female,Have a patner,Bachelor’s degree,Yes,No,1,Below 15 000,2,8,6,9,Less than 1 year,8,7,10,6,10,20,8,5,
11/27/2024 1:56:01,0,33,Male,Single,Master’s degree and higher,Yes,No,10,Between 15 000 and 40 000,12,6,7,6,1–5 years,7,5,7,6,20,10,5,5,
11/27/2024 7:07:14,0,30,Male,Have a patner,Master’s degree and higher,Yes,Yes,5,Between 15 000 and 40 000,24,8,8,9,Less than 1 year,5,3,6,7,5,95,7,15,
11/27/2024 11:21:15,0,24,Female,Single,Bachelor’s degree,Yes,No,1,Between 15 000 and 40 000,2,7,4,4,Less than 1 year,5,5,6,6,10,5,6,8,
11/27/2024 15:21:51,0,39,Male,Have a patner,Master’s degree and higher,Yes,No,20,More than 60 000,25,8,7,9,5–10 years,8,7,9,7,50,70,8,20,
11/27/2024 15:25:14,0,40,Female,Have a patner,Master’s degree and higher,Yes,No,19,More than 60 000,28,8,7,9,5–10 years,9,7,9,7,30,50,7,15,
11/27/2024 15:32:12,0,31,Male,Have a patner,Master’s degree and higher,Yes,No,11,Between 25 000 and 40 000,10,9,7,8,5–10 years,8,6,8,8,25,40,8,17,
11/27/2024 15:34:08,0,35,Female,Have a patner,Master’s degree and higher,No,Yes,9,Between 25 000 and 40 000,6,7,6,8,5–10 years,7,9,8,6,15,35,8,20,
11/27/2024 15:36:47,0,42,Female,Have a patner,Bachelor’s degree,No,Yes,14,More than 60 000,12,8,6,9,More than 10 years,8,6,9,7,20,50,8,15,
11/27/2024 15:39:36,0,43,Female,Have a patner,Master’s degree and higher,No,Yes,24,More than 60 000,288,7,9,8,More than 10 years,8,7,9,8,30,50,8,20,
11/27/2024 15:42:49,0,32,Male,Have a patner,Bachelor’s degree,Yes,No,13,Between 40 000 and 60 000,12,8,7,9,5–10 years,8,6,8,7,20,60,7,20,
11/27/2024 15:51:24,0,34,Male,Have a patner,Master’s degree and higher,No,Yes,12,Between 25 000 and 40 000,6,8,7,10,5–10 years,8,6,7,9,20,40,7,20,
11/27/2024 15:58:19,0,45,Female,Have a patner,Master’s degree and higher,No,Yes,20,Between 40 000 and 60 000,12,8,7,10,More than 10 years,8,6,9,8,20,30,7,15,
11/27/2024 16:00:18,0,32,Female,Have a patner,Bachelor’s degree,Yes,No,14,Between 25 000 and 40 000,12,8,6,8,5–10 years,7,9,6,7,30,40,8,17,
11/27/2024 16:03:09,0,45,Female,Have a patner,Bachelor’s degree,No,Yes,23,More than 60 000,24,9,8,6,5–10 years,7,9,8,6,30,50,8,20,
11/27/2024 16:14:45,0,23,Female,Have a patner,Master’s degree and higher,No,Yes,2,Between 15 000 and 40 000,2,7,8,4,1–5 years,1,3,4,7,50,50,7,20,
11/27/2024 20:09:30,0,29,Male,Have a patner,Master’s degree and higher,Yes,No,5,Between 40 000 and 60 000,12,7,8,4,More than 10 years,2,2,5,5,0,5,8,10,
11/27/2024 23:10:45,0,22,Female,Have a partner,Bachelor’s degree,Yes,Yes,2,Below 15 000,2,7,6,5,Less than 1 year,7,6,7,6,15,10,7,8,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
